"","consumer","resource"
"676",75,53
"677",75,54
"678",75,71
"679",75,73
"680",75,82
"681",75,83
"682",75,84
"683",75,85
"684",75,86
"685",75,87
"686",75,88
"687",76,2
"688",76,6
"689",77,2
"690",77,6
"691",78,2
"692",78,6
"693",79,1
"694",79,2
"695",79,3
"696",79,6
"697",80,1
"698",80,2
"699",80,3
"700",80,6
"701",81,2
"702",81,6
"703",82,1
"704",82,2
"705",83,1
"706",83,2
"707",84,2
"708",84,6
"709",85,2
"710",85,6
"711",86,2
"712",86,6
"713",87,2
"714",87,3
"715",88,5
"716",89,2
"717",89,3
"718",89,5
"719",89,6
"720",89,12
"721",89,13
"722",89,16
"723",89,19
"724",89,20
"725",89,21
"726",89,28
"727",89,61
"728",89,69
"729",89,70
"730",89,71
"731",89,73
"732",89,77
"733",90,2
"734",90,3
"735",90,5
"736",90,6
"737",90,12
"738",90,13
"739",90,16
"740",90,19
"741",90,20
"742",90,21
"743",90,28
"744",90,61
"745",90,69
"746",90,70
"747",90,71
"748",90,73
"749",90,77
"750",91,3
"751",91,15
"752",91,16
"753",91,17
"754",91,18
"755",91,22
"756",91,24
"757",91,25
"758",91,26
"759",91,28
"760",91,29
"761",91,41
"762",91,42
"763",91,43
"764",91,44
"765",91,45
"766",91,46
"767",91,48
"768",91,49
"769",91,50
"770",91,51
"771",91,52
"772",91,53
"773",91,54
"774",91,62
"775",91,63
"776",91,64
"777",91,65
"778",91,66
"779",91,67
"780",91,68
"781",91,74
"782",91,75
"783",91,77
"784",91,78
"785",91,79
"786",91,80
"787",91,81
"788",91,91
"789",91,92
"790",91,93
"791",91,94
"792",91,95
"793",91,96
"794",92,2
"795",92,3
"796",93,2
"797",94,41
"798",94,42
"799",94,43
"800",94,45
"801",94,52
"802",95,41
"803",95,42
"804",95,43
"805",95,45
"806",95,52
"807",96,41
"808",96,42
"809",96,43
"810",96,45
"811",96,52
"812",97,2
"813",97,3
"814",97,5
"815",97,6
"816",98,1
"817",99,2
"818",99,6
"819",100,5
"820",100,11
"821",100,14
"822",100,15
"823",100,16
"824",100,17
"825",100,18
"826",100,22
"827",100,24
"828",100,25
"829",100,26
"830",100,27
"831",100,28
"832",100,29
"833",100,30
"834",100,31
"835",100,32
"836",100,33
"837",100,34
"838",100,35
"839",100,36
"840",100,37
"841",100,38
"842",100,49
"843",100,50
"844",100,51
"845",100,52
"846",100,62
"847",100,63
"848",100,65
"849",100,66
"850",100,67
"851",100,68
"852",100,74
"853",100,75
"854",100,77
"855",100,79
"856",100,80
"857",100,81
"858",100,86
"859",100,87
"860",100,88
"861",100,89
"862",100,90
"863",101,4
"864",102,11
"865",102,14
"866",102,15
"867",102,17
"868",102,18
"869",102,22
"870",102,24
"871",102,25
"872",102,26
"873",102,27
"874",102,29
"875",102,32
"876",102,33
"877",102,34
"878",102,35
"879",102,36
"880",102,37
"881",102,38
"882",102,40
"883",102,41
"884",102,42
"885",102,43
"886",102,51
"887",102,52
"888",102,62
"889",102,65
"890",102,66
"891",102,67
"892",102,68
"893",102,74
"894",102,75
"895",102,79
"896",102,80
"897",102,81
"898",102,86
"899",102,87
"900",102,88
"901",102,89
"902",102,90
"903",102,91
"904",103,101
"905",103,102
"906",104,101
"907",104,102
"908",105,39
"909",105,40
"910",105,41
"911",105,42
"912",105,43
"913",105,52
"914",105,91
"915",106,41
"916",106,42
"917",106,43
"918",106,52
"919",106,91
"920",106,100
"921",106,101
"922",106,102
"923",107,11
"924",107,15
"925",107,17
"926",107,18
"927",107,22
"928",107,40
"929",107,41
"930",107,42
"931",107,43
"932",107,45
"933",107,48
"934",107,51
"935",107,52
"936",107,62
"937",107,64
"938",107,65
"939",107,66
"940",107,67
"941",107,68
"942",107,74
"943",107,75
"944",107,79
"945",107,80
"946",107,81
"947",107,91
"948",107,94
"949",107,95
"950",107,96
"951",108,11
"952",108,15
"953",108,17
"954",108,18
"955",108,22
"956",108,33
"957",108,34
"958",108,35
"959",108,37
"960",108,38
"961",108,41
"962",108,42
"963",108,43
"964",108,45
"965",108,48
"966",108,51
"967",108,52
"968",108,62
"969",108,64
"970",108,65
"971",108,66
"972",108,67
"973",108,68
"974",108,74
"975",108,75
"976",108,79
"977",108,80
"978",108,81
"979",108,89
"980",108,90
"981",108,94
"982",108,95
"983",108,96
"984",109,11
"985",109,14
"986",109,22
"987",109,33
"988",109,34
"989",109,35
"990",109,36
"991",109,37
"992",109,38
"993",109,75
"994",109,86
"995",109,89
"996",109,90
"997",110,11
"998",110,22
"999",110,41
"1000",110,42
"1001",110,43
"1002",110,45
"1003",110,46
"1004",110,48
"1005",110,51
"1006",110,52
"1007",110,75
"1008",110,91
"1009",110,94
"1010",110,95
"1011",110,96
"1012",110,98
"1013",110,99
"1014",110,100
"1015",110,101
"1016",111,11
"1017",111,22
"1018",111,33
"1019",111,34
"1020",111,35
